年份,县区名称,莺落峡流量（亿立方米）,其他河流流量（亿立方米）,地表引水量（亿立方米）,地下抽水量（亿立方米）,耕地面积ET（亿立方米）,农业产值变化率,工业产值变化率,服务业产值变化率,耕地面积变化率,城镇工业用地变化率,服务业用地变化率,水价变化率,就业率变化率,地表需水量变化率,地下需水量变化率,非农业需水量变化率,农业产值（亿元）,工业产值（亿元）,服务业产值（亿元）,耕地面积（公顷）,城镇工业用地面积（公顷）,服务业用地面积（公顷）,水价（元/立方米）,就业率,地表需水量（亿立方米）,地下需水量（亿立方米）,非农业需水量（亿立方米）,人口总数（万人）,城镇化人口数量（万人）,城镇化率（%）,温度（）,降水（厘米）,林地面积（公顷）,草地面积（公顷）,湿地面积（公顷）,退化土地面积（公顷）,GDP
2012,甘州,23.7450486136871,20.9215407998486,6.227774,2.22582,6.3205,2.5122813630143E-08,3.5037457377692E-08,2.38259217621179E-08,4.435392060743E-10,-1.1785055514992E-10,-2.09923380117586E-08,-1.56072085799907E-06,4.69835225296522E-08,0,0,0,33.17,36.41,54.24,78353,11820,10940,0.3,51,6.553857,3.1708183,0.7,52,20.878,40.15,8.59,16.88,2768,53073.13,0,212038.87,123.82
2012,民乐,23.7450486136871,20.9215407998486,2.421484,0.090738,3.160267,2.8380699084166E-08,3.45344993525323E-08,1.68494275592362E-08,8.6124827225922E-10,2.8380956729922E-10,-7.99454537614522E-09,2.96853587743807E-06,4.2853046522881E-08,0,0,0,11.39,11.71,9.9,69647,7227,4273,0.3,45,3.3290503,0.4964373,0.003,25,3.79,15.16,5.6,35.79,222,57888.52,0,152342.48,33
2012,临泽,23.7450486136871,20.9215407998486,3.463466,0.58754,2.35962,2.6285447066625E-08,3.48276345761637E-08,1.69497310059091E-08,3.79036506696E-10,-5.72160443140756E-09,-2.58145804196093E-08,4.13921049003146E-06,4.45323653312682E-08,0,0,0,12.1,13.43,11.17,26480,4673,11520,0.3,49,3.8065674,1.4345225,0.035,15,4.6605,31.07,8.98,11.78,3318,11536.31,0,215205.69,36.7
2012,高台,23.7450486136871,20.9215407998486,2.284796,1.477076,2.174412,2.8801949199115E-08,3.41514908978441E-08,1.45287348735158E-08,1.20790724350503E-09,-2.77320701473706E-09,3.15222560902102E-09,5.04369311137577E-06,4.24713879075265E-08,0,0,0,14.11,14.18,9.32,27233,8607,13173,0.3,48,3.2737286,1.3236736,0.037,16,4.1296,25.81,8.69,9.46,1841,207687.9,0,187431.1,37.61
2012,山丹,23.7450486136871,20.9215407998486,0.946759,1.002321,4.192189,2.099146818331E-08,3.60590336240079E-08,2.24586249219272E-08,6.2427992730895E-10,-1.7280300515982E-10,-2.40657263166907E-08,7.78021714438225E-06,4.21580464382204E-08,0,0,0,7.84,12.47,14.53,69527,6427,8933,0.3,50,0.9827619,0.67357844,0.004,20,5.96,29.8,4.24,41.59,847,138808.3,0,270210.7,34.84
2012,嘉峪关,23.7450486136871,20.9215407998486,0.755328,0.291183,0.822861,1.077312296615E-09,6.86558186493779E-08,1.14717882026276E-08,2.416893072352E-11,-1.64333751899275E-09,-2.34233989447071E-08,7.3130503830632E-06,1.65645027154383E-08,0,0,0,4.44,220.21,45.18,6827,80107,62331,0.3,48,1.6857142,0.90000004,0.36,23.32,19.451212,83.41,7.87,7.86,442,13597.78,0,130195.22,269.83
2012,金塔,23.7450486136871,20.9215407998486,2.074474,1.763986,2.885338,2.3144542618227E-08,3.44839798181752E-08,2.05989942957823E-08,1.12846414483759E-09,-6.87274559071629E-09,-2.17058901263715E-08,3.71367764762946E-06,4.22880388392906E-08,0,0,0,15.75,20.51,21.91,310167,8987,6672,0.3,42,4.415467,2.4759624,0.2,14.87,3.13757,21.1,9.45,7.33,2646,79167.05,0,1472160.95,58.17
2012,肃州,23.7450486136871,20.9215407998486,4.873551,1.667307,5.187784,1.0026318828641E-08,5.57130176401457E-08,1.75945598034191E-08,1.10754625717548E-09,-6.04601807020971E-09,5.37568816677172E-09,2.56675625884784E-06,3.36893054466781E-08,0,0,0,22.8,101.96,59.73,42000,22250,8412,0.3,47,18.94769,8.72871,0.43,43.08,17.667108,41.01,8.03,7.59,793,26986.3,0,238158.7,184.49
2012,肃南,23.7450486136871,20.9215407998486,0.092623,0.38141,0.358856,9.934650273681E-09,5.55356810078217E-08,1.07188461281996E-08,3.4126283152794E-10,1.8664172464391E-09,-2.14715654718248E-08,4.72088555606077E-06,2.83669615208422E-08,0,0,0,3.25,16.11,4.04,10640,4020,56413,0.3,46,0.28729734,0.75928587,0.0058,3.86,1.188494,30.79,9.06,6.15,350,32701.85,0,1965475.15,23.4
2012,额济纳旗,23.7450486136871,20.9215407998486,2.619099,0.133987,0.7732,2.329050730061E-09,5.37176889649302E-08,2.28254526096344E-08,2.03800041448658E-09,-4.64108010584222E-09,-1.33933436656165E-08,1.93370157366656E-05,2.20272856078046E-08,0,0,0,1.48,28.19,15.65,2910,4505,5109,0.3,39,0.5212762,0.2316783,0.04,1.7495,1.305127,74.6,9.02,4.72,34101,200379.5,0,11213595.5,45.32
2012,流域,23.7450486136871,20.9215407998486,25.759354,9.621368,21.17627025,0,0,0,0,0,0,0,0,0,0,0,126.33,475.18,245.67,643784,187172,187776,0.3,47.9080158879744,43.80340994,20.19466675,1.8148,214.8795,82.167611,38.2389250719589,8.59,16.88,47328,821826.64,0,16056814.36,847.18
2013,甘州,23.9769932859924,21.0330209170313,6.47400004208237,2.22806922310088,6.65471374699622,-0.059074166268132,0.0207710897869147,0.00779160398132188,-0.41044935965216,0.0403040513301194,0.000306392115066789,-281.799532989466,-0.0568628954277193,-3.2599999905,4.40867684744578,-27.5296013440952,33.1504050990489,36.4175627537914,54.2442261659995,78031.4006132317,11824.7639388672,10940.0335192974,-0.545398598968397,50.9709999233319,6.34020126242262,3.31060943226667,0.507292790591334,51.8455888599754,9.94363346778685,19.1793240012041,8.62552265731732,16.9443616136525,5900.56446793309,52393.9867874292,0,209902.250673241,123.81219401884
2013,民乐,23.9769932859924,21.0330209170313,3.56250717954896,0.58303018775169,2.45027066354565,0.0261917233160134,0.0104058277283559,-0.00150340706686313,0.28308457724898,0.0587152837704865,0.0064972059619089,-302.453765358539,0.0763816940119715,1.3099999428,13.0886911529847,20.7217200342384,11.3929832372857,11.711218522427,9.89985116270038,69844.1599155166,7231.24335355809,4273.27762561075,-0.607361296075618,45.0343717623054,3.37266085702578,0.561414444965216,0.00362165160102715,22.0702986895398,4.23293409370035,19.1793240012041,5.63418179181547,35.9264633976671,280.268938891443,73850.7518383836,0,136120.29832804,33.0040529224131
2013,临泽,23.9769932859924,21.0330209170313,2.35203881431725,1.47334317267318,2.26373585773874,-0.0162638621332536,0.0204420457955232,0.00207189984618246,-0.067984117633139,0.0602212106239246,0.00240144221359873,-171.972640009122,-0.0137877985954382,-0.77999997139,3.3599998951,29.8075191507851,12.0980320726819,13.4327453667503,11.1702314312128,26461.9978056507,4675.81413717246,11520.276646143,-0.215917920027365,48.9932439786882,3.77687617536906,1.48272245449519,0.0454326317027748,13.4991610917783,2.58904784323664,19.1793240012041,9.01563796032633,11.8249158654518,5661.04613292929,10287.4311908177,0,214126.434087287,36.701008870645
2013,高台,23.9769932859924,21.0330209170313,0.964224404258002,0.984748616649443,4.51199262619913,-0.0380638893550284,0.0296242505403105,0.00447571051578883,-0.4032341040125,0.191847212169847,0.0113539985174262,-146.111474867311,-0.0389890092372039,-1.3899999857,6.9800000191,47.7910404436048,14.104629185212,14.1842007187266,9.32041713622007,27123.1872564543,8623.51228955146,13174.4956622247,-0.138334424601933,47.9812852755661,3.22822377292814,1.41606601753282,0.0546826849641338,14.375925089633,2.75720525111111,19.1793240012041,8.72555311190815,9.49606995646637,1492.18298643089,1515.49876903726,0,394044.123036301,37.6092470401587
2013,山丹,23.9769932859924,21.0330209170313,2.46625200478174,0.0899452487720886,3.21723214677013,-0.0151464631597883,0.0171256897854896,0.00584758215326494,-0.18404155932759,0.0290904783642641,0.0008989699539128,-82.9400208918281,-0.0389296995147917,-1.4800000191,1.41985795710429,-1.3885600333488,7.83881251728827,12.4721355735163,14.5308496536869,69399.0414250463,6428.86964504447,8933.08030498598,0.0511799373245158,49.9805351502426,0.968217023692292,0.683142297077679,0.00394445759866605,16.2135647911096,3.10965212343207,19.1793240012041,4.27305843441792,41.7485781701307,1142.84967943563,210756.814763842,0,198092.344181645,34.8417977444914
2013,嘉峪关,23.9769932859924,21.0330209170313,0.0920107481878527,0.381277101146805,0.370333859860894,0.0001618559567253,0.00217870454357497,2.94693952723809E-05,0.000387927937513,0.00900791035255466,0.000355067778522848,-104.245390878007,0.00154377208953866,0.15999999642,0.519531980947163,0.2401599942398,4.44000718640448,220.214797725275,45.1800133142728,6827.02648384029,80114.2159667461,62331.221317297,-0.012736172634021,48.000741010603,1.68841134265965,0.904675828036337,0.360864575979263,23.6486145335359,19.7580281147179,83.5483536961505,7.9052829863839,7.88996932957988,359.393771027124,22155.675706277,0,121712.466754812,269.834818225953
2013,金塔,23.9769932859924,21.0330209170313,0.772158842225978,0.29152424821024,0.847350721447519,-0.0197642886131358,-5.36998412901703E-05,0.00408540294227511,-0.098855098533585,-0.032320801161036,-0.00433514440528866,69.3261798287365,-0.039645089867592,-0.83999997377,-0.837059973861805,-1.47167995404504,15.7468871245434,20.5099889861626,21.9108951117847,309860.384106531,8984.09532959966,6671.71075916528,0.507978539486209,41.9833490622556,4.37837707835818,2.45523710978173,0.19705664009191,15.8785876839477,7.14249843267444,44.9819503777095,9.48576542207826,7.35794849692373,5372.78608712812,80012.2426916571,0,1468898.78102592,58.1677712224906
2013,肃州,23.9769932859924,21.0330209170313,4.95200786034316,1.66986342495973,5.33541237236708,-0.009799655405446,-0.00049553844818514,0.00148219078352939,-0.08010073292845,-0.0512391443019862,-0.0053203933398889,225.672177857346,-0.0285941616007249,-0.840083973767377,-0.838487973817214,-1.42463995551392,22.7977656785676,101.959494748998,59.730885312555,41966.3576921701,22238.5992903928,8411.55244851225,0.977016533572038,46.9865607440477,18.7885134929109,8.65552081638062,0.42387404819129,33.7460206200726,27.7176864750817,82.1361629187025,8.06533957023936,7.61893984879278,758.528119953642,30198.3385272392,0,235026.623921732,184.488145740121
2013,肃南,23.9769932859924,21.0330209170313,2.19111309608668,1.78025089113056,3.02805199538022,0.0415194096995778,-0.0210498605302969,-0.00360962751331383,0.87707871098796,0.0168692171979255,0.000686908598824398,-177.717550236385,0.0901225404587783,6.30936894280572,1.7899999619,126.069638678343,3.25134938081524,16.1066088674686,4.03985417104846,10733.3211748491,4020.67814253136,56413.3875057479,-0.233152650709156,46.041456368611,0.305423989143467,0.772877086783712,0.0131120390433439,3.38863242437244,0.649916791880247,19.1793240012041,9.09566050137374,6.17344928459494,533.860043062946,38977.6758628086,0,1958921.077271,23.3978124193323
2013,额济纳旗,23.9769932859924,21.0330209170313,2.68591375223473,0.131320595597953,0.734194569586357,0.002072340182972,0.00786577640720896,-0.000156554902299845,0.019111696351962,0.0443775273940572,0.00418716684547093,-195.514637615798,0.00777557010662497,0.5001,1.9964,2.962,1.48003067063471,28.1922173623692,15.6499754991578,2910.55615036384,4506.9992076091,5109.21392235414,-0.286543912847393,39.0030324723416,0.5238831022762,0.2363035255812,0.0411848,23.6668367917971,18.4833808871264,78.0982310806012,9.0556492760782,4.73799684931514,53830.4047050028,403892.892699806,0,10990349.9333149,45.3222235321617
2013,流域,23.9769932859924,21.0330209170313,26.5122267440667,9.61337270999257,22.059966419919,0,0,0,0,0,0,0,0,0,0,0,126.300902152482,475.200970625486,245.677198958638,643157.432623654,187176.034996593,187778.249711338,-0.545398598968397,47.0131914865994,43.3707880967863,20.4785690129012,1.65106631976374,218.333230575762,96.3839834807477,44.1453567221882,8.62552265731732,16.9443616136525,75331.884931795,924041.308837298,0,15927194.3325948,847.179071736606
2014,甘州,24.2124547802771,21.141273187395,6.51322821689099,2.24448709899178,6.73663491077423,2.2830977870888,2.12185980997208,1.48396138743355,0.54465584288122,-0.030927744988486,-1.22909108923603,32.6051583728592,0.44277836799005,3.9536764622,0.101021119439539,88.9280513318255,33.9072612642762,37.1902923816355,55.049189537215,78456.4031959538,11821.1068060307,10805.5705421523,-0.723226675925398,51.1966884849406,6.59087230739113,3.31395384697542,0.958418383811045,51.9871835115715,10.5243989188627,20.2442183014591,8.66119221325895,17.0089686311741,5930.61879366757,52493.5469451989,0,209485.753716997,126.146743183127
2014,民乐,24.2124547802771,21.141273187395,3.63404940695018,0.597227201904205,2.53376153941564,2.8403561023248,1.93110660073952,0.992748644053505,3.7299637527706,0.0901405531737859,-0.481689493685938,-1111.19665202623,0.481755253264127,20,19.998,83.28,11.7165845319028,11.9373746363406,9.9981318008814,72449.3217637925,7237.76163631833,4252.69369625215,6.14161709161976,45.2513272140448,4.04719302843094,0.67368610566936,0.00663776305436256,22.0905786238262,4.47206496066282,20.2442183014591,5.66857222557588,36.0634471155048,281.689380422025,74181.9931103104,0,133196.540412905,33.6520909691248
2014,临泽,24.2124547802771,21.141273187395,2.32461684991233,1.45137076759748,2.21139578563496,1.7203146041974,2.71338541485647,1.10332273337024,-2.0350513000838,1.28295259656841,-1.56544996298868,-2752.31614723171,0.447998556887421,-20,20,-116.08,12.3061562852487,13.7972275203465,11.2934751339635,25923.4825752787,4735.80261605602,11339.9324796498,5.72682585765266,49.2127330046851,3.02150094029525,1.77926694539422,0,13.5083159453431,2.73465296882605,20.2442183014591,9.05141735319344,11.8700029902388,5788.23120011721,10235.1512441446,0,214710.399884754,37.3968589395587
2014,高台,24.2124547802771,21.141273187395,0.981730435510818,0.953360845056572,4.38507639201805,1.78897195259326,2.07037123279891,0.94273438453645,-6.6163795845494,-1.54436516519025,0.095078587084734,2990.63622188274,0.342692021821444,-20,-20,-551.36,14.3569570453527,14.4778663300096,9.40828391334544,25328.6142321391,8490.33376973573,13187.0217865559,-4.2754138340804,48.1457133121729,2.58257901834251,1.13285281402626,0,14.3718490258537,2.90946849074994,20.2442183014591,8.76125168109665,9.53227744377412,1515.40264497439,1519.87983323034,0,395931.747733365,38.2431072887078
2014,山丹,24.2124547802771,21.141273187395,2.50813988298625,0.0914336300126657,3.46394535177797,2.0561762916366,1.76767847116488,1.31383319242082,2.2375816133738,-1.31851823933111,-1.5127651652062,8246.46980004286,0.321654195405708,20,-19.998,18.56,7.9999923218146,12.6926028289438,14.7217607795778,70951.9016158308,6344.10382619174,8797.94377795226,4.27171801247157,50.1412996384396,1.16186042843075,0.546527500508085,0.00467654892897847,16.2071270331329,3.28100617698222,20.2442183014591,4.30637461885615,41.9077609816665,1155.49707424574,210742.360510875,0,196761.193194904,35.4143559303362
