年份,县区名称,莺落峡流量（亿立方米）,其他河流流量（亿立方米）,地表引水量（亿立方米）,地下抽水量（亿立方米）,耕地面积ET（亿立方米）,农业产值变化率,工业产值变化率,服务业产值变化率,耕地面积变化率,城镇工业用地变化率,服务业用地变化率,水价变化率,就业率变化率,地表需水量变化率,地下需水量变化率,非农业需水量变化率,农业产值（亿元）,工业产值（亿元）,服务业产值（亿元）,耕地面积（公顷）,城镇工业用地面积（公顷）,服务业用地面积（公顷）,水价（元/立方米）,就业率,地表需水量（亿立方米）,地下需水量（亿立方米）,非农业需水量（亿立方米）,人口总数（万人）,城镇化人口数量（万人）,城镇化率（%）,温度（）,降水（厘米）,林地面积（公顷）,草地面积（公顷）,湿地面积（公顷）,退化土地面积（公顷）,GDP
2012,流域,23.7450486136871,20.9215407998486,25.759354,9.621368,21.17627025,0,0,0,0,0,0,0,0,0,0,0,126.33,475.18,245.67,643784,187172,187776,0.3,47.9080158879744,43.80340994,20.19466675,1.8148,214.8795,82.167611,38.2389250719589,8.59,16.88,47328,821826.64,0,16056814.36,847.18
2013,流域,23.9769932859924,21.0330209170313,26.5122267440667,9.61337270999257,22.059966419919,0,0,0,0,0,0,0,0,0,0,0,126.300902152482,475.200970625486,245.677198958638,643157.432623654,187176.034996593,187778.249711338,-0.545398598968397,47.0131914865994,43.3707880967863,20.4785690129012,1.65106631976374,218.333230575762,96.3839834807477,44.1453567221882,8.62552265731732,16.9443616136525,75331.884931795,924041.308837298,0,15927194.3325948,847.179071736606
2014,流域,24.2124547802771,21.141273187395,26.685792643477,9.61498149511504,22.3046045239224,0,0,0,0,0,0,0,0,0,0,0,128.58839571251,496.44292601347,249.03088111732,638617.620735634,184740.56395501,185304.359440706,-0.723226675925398,47.3761703898858,42.2522001124798,20.3247477560022,1.92463546692606,219.16113029274,99.0018563463882,45.1730907821786,8.66119221325895,17.0089686311741,75764.9690491216,923721.399211897,0,15934693.0436555,874.0622028433
2015,流域,24.4515432847467,21.2461379433984,26.6606106079693,9.62460799714652,21.963550747324,0,0,0,0,0,0,0,0,0,0,0,131.129121064017,518.552051537506,252.410967667003,640168.388877468,182346.672625313,182871.43553639,-1.35775631252533,47.7518146947389,42.7607583468855,20.0937364483362,2.13381092113578,219.981619512145,101.64441344419,46.2058665035778,8.69700927530214,17.0738219882634,76212.6491084749,923652.837651876,0,15935702.8458047,902.092140268526
2016,流域,24.6943732897528,21.3474492911768,26.6039763263498,9.62266808170104,22.1969058060134,0,0,0,0,0,0,0,0,0,0,0,133.694061764517,541.808741220071,255.850988594015,640289.144981958,180006.873955622,180492.717535946,-5.07544214397542,48.1369174390003,42.5630503175947,20.4109234779398,1.6276210716996,220.794501070748,104.311170065798,47.2435543276388,8.73297445343626,17.1389226241863,76673.2745227607,923274.941102526,0,15938210.4362407,931.353791578602
2017,流域,24.9410637704785,21.4450348745972,26.6493809505069,9.61346752448599,22.2671751897447,0,0,0,0,0,0,0,0,0,0,0,136.317654725327,566.175227900816,259.340035359136,640210.249853086,177694.610499668,178142.434682429,-12.3121083279785,48.5301471699512,42.4198594891207,20.2103219841399,1.70654330576093,221.599593574741,107.001632329863,48.2860237258394,8.76908836017319,17.2042714817904,77146.7785331543,922773.175746655,0,15941138.7368915,961.832917985279
2018,流域,25.1917383777863,21.5387156302173,26.7133771212679,9.64129165593165,21.8352764202519,0,0,0,0,0,0,0,0,0,0,0,139.016398268186,591.714188517025,262.874539750705,641059.287089853,175426.193842113,175836.426513463,-29.7080497974646,48.9323406163569,42.5735708992883,20.1242484710373,1.73689776192846,222.396731406324,109.715248480597,49.3331209441852,8.80535161055779,17.2698695075181,77633.409880663,922879.18969796,0,15942411.0070411,993.605126535916
2019,流域,25.4465256375781,21.6283055328564,26.7677537867693,9.63328563279417,22.0295686498699,0,0,0,0,0,0,0,0,0,0,0,141.774634288547,618.523483357627,266.461689862382,641883.183776293,173200.682252106,173574.224719346,-81.6318416802458,49.3439306528191,42.6569516531457,20.3615492099254,1.71267352261268,223.185764655592,112.451362649343,50.3846483322411,8.84176482217832,17.3357176514204,78133.2204958871,922411.795460311,0,15944158.7317377,1026.75980750856
2020,流域,25.7055591590851,21.7136113312622,26.7393669984325,9.61887100264169,22.2192525232778,0,0,0,0,0,0,0,0,0,0,0,144.580590937564,646.631944214865,270.100687173921,642162.376724516,170996.943789159,171334.214589731,-188.232105408744,49.7633951991415,42.7498279622834,20.3013632544958,1.77959383248723,223.966558981782,115.209172289025,51.440345743043,8.87832861517698,17.4018168671709,78645.7597238336,922462.489329872,0,15946016.505351,1061.31322232635
2021,流域,25.9689778524792,21.7944322736328,26.7358465513046,9.62479903852343,22.2644246236691,0,0,0,0,0,0,0,0,0,0,0,147.454010226631,676.114299248935,273.792920906156,642680.639154005,168837.907038909,169139.51044351,-554.717565381085,50.192474042573,42.728932761033,20.1466734153065,1.73273094084361,224.738995408383,117.987690258212,52.4998743737423,8.9150436122605,17.4681681120794,79172.0576113741,921951.549912071,0,15948078.6124232,1097.36123038172
2022,流域,26.2369261562427,21.8705598224731,26.8054830530991,9.65325889846309,21.9079661899448,0,0,0,0,0,0,0,0,0,0,0,150.387594179851,707.060923482337,277.538923395695,643178.250991344,166715.307597833,166981.786541705,-1492.89439962285,50.6309698893109,42.7276057592837,20.1364339536792,1.72425355100119,225.502970056899,120.785712318703,53.562803313955,8.9519104387107,17.5347723471059,79711.7954936484,921564.867840277,0,15949965.1500125,1134.98744105788
2023,流域,26.5095542747559,21.941777358418,26.8044993210695,9.62933561450866,22.0670356953192,0,0,0,0,0,0,0,0,0,0,0,153.402133296137,739.53484528242,281.337813129347,644031.829045864,164630.505569892,164862.452263318,-2635.29624724824,51.0795496169825,42.8527658575021,20.2629728755314,1.89273122567799,226.258393824363,123.601790619944,54.6285989795774,8.98892972239518,17.6016305368741,80265.3640039268,921123.559033624,0,15951463.9670842,1174.2747917079
2024,流域,26.7870184265509,22.0078598725537,26.8115022873296,9.63058296035232,21.9891816792337,0,0,0,0,0,0,0,0,0,0,0,156.466352862414,773.600753984435,285.19195757162,644610.601316389,162572.484805945,162770.336853465,-9530.65733441867,51.5366649322291,42.9550040876261,20.2577093438146,1.72710913621019,227.005192009846,126.434213573922,55.6966175330639,9.02610209377796,17.6687436496862,80832.2170422699,920973.342230975,0,15952969.3404425,1215.25906441847
