1#目标1：为所有人提供水和环境卫生，为所有用水部门提供可持续的供水和取水，并进行流域水资源的可持续管理（权重30%）#true#33.33#2
2#子目标1.1 提高水资源利用率#true##2
3#指标1.1.1 水生产力16.08元每立方#true#4.35#1
3#指标1.1.2 用水压力100%#true#4.35#0
2#子目标1.2 人人可以公平享受负担得起的安全饮用水#true##2
3#指标1.2.1 安全饮用水人口比例100%#true#4.35#1
2#子目标1.3 在所用层次上实现集成水资源管理，包括跨边界合作#false##2
3#指标1.3.1 集成水资源管理执行度  %#false##1
3#指标1.3.2 跨边界流域可操作合约有效性  %#false##1
2#子目标1.4 保护和恢复与水相关的生态系统，包括湿地，森林，草地，湖泊和地下蓄水层#true##2
3#指标1.4.1 维持流域可持续湿地面积#false##1
3#指标1.4.2 下游可持续生态系统发展所需最小水量#false##1
3#指标1.4.3 中游地下水开采量#true#4.35#0
3#指标1.4.4 中游生态系统用水量#false##1
1#目标2：保护、恢复和促进流域可持续利用陆地生态系统健康发展，可持续管理森林，防治荒漠化（权重30%）#true#33.33#2
2#子目标2.1 确保保护和恢复森林生态系统#true##2
3#指标2.1.1 森林覆盖率2%#true#4.35#1
2#子目标2.2 保护和恢复退化的土地和土壤#true##2
3#指标2.2.1 退化的土地面积#true#4.35#1
2#子目标2.3 确保山地生态系统的可持续发展#true##2
3#指标2.3.1 山地绿色覆盖指数  %#true#4.35#1
1#目标3：促进持久、包容性和可持续经济增长、促进实现充分和生产性就业（权重40%）#true#33.33#2
2#子目标3.1 可持续与自然环境相一致的人均经济增长#true##2
3#指标3.1.1 人均GDP 1.97万元#true#4.35#1
2#子目标3.2 得到经济生产力的高水平#true##2
3#指标3.2.1 就业人口人均GDP增长率  %#true#4.35#1
2#子目标3.3 实质性降低年轻人就业率#false##2
3#指标3.3.1 年轻人（15-24）在教育，就业和培训中的比例  %#false##1
2#子目标3.4 促进可持续旅游业发展，创造就业机会和提升当地文化#false##2
3#指标3.4.1 旅游业产值在GDP中的比例  %#false##1
2#子目标3.5 确保可持续城市化发展和人人参与能力#true##2
3#指标3.5.1 土地消耗率与人口增长率的比率  %#false##0
3#指标3.5.2 城镇化率77.2%#true#4.35#1
2#子目标3.6 社会福利的提高#false##2
3#指标3.6.1 人均社会福利  %#false##1
2#子目标3.7 提高农业水生产力#true##2
3#指标3.7.1 提高农业水生产力  千克/立方米#true#4.35#1
3#指标3.7.2 提高农业水利用效率到  %#true#4.35#1
3#指标3.7.3 提高每公顷农产品产值#false##1
2#子目标3.8 确保可持续粮食生产#true##2
3#指标3.8.1 维持可持续发展中的中游耕地面积在600#true#4.35#0
4f3f8#2k1k2k4k1k1k1k1k1k1k1k2k1k3k1###
主观赋权####
